spec,variable,B,SE,p,beta
Moderation,cyt_stem_per_10k,-0.8554254613678478,1.1739619586192294,0.4662063619333765,-4.4029694221786935
Moderation,dist_stem_uni_km,-0.001431220551625512,0.0018422458136991742,0.43722424765550105,-0.07880610917317914
Moderation,pct_univ_adultos,0.04603890023263632,0.025320388546014417,0.06902530503483542,0.15899534369835186
Moderation,log_wage_median,0.7073100773771775,0.4318653313161257,0.10146292016378587,0.11231386167084662
Moderation,rad_mean_2022,-0.004358599700028532,0.0033875664490273663,0.1982176122222451,-0.10284485264176
Moderation,pct_servicios_avanzados,-0.00597548258884146,0.01438483790054846,0.6778480419657182,-0.027768937601698896
Moderation,log_pob,0.42458908891882174,0.07216437078789872,4.013433167150978e-09,0.48990328144437356
Moderation,inet_penetracion_hog,-0.0003964797508828519,0.008476686652586737,0.9626941778685384,-0.004474400467360348
Moderation,stem_x_lnwage,0.07616497022932045,0.0995310486538789,0.44412965843363406,4.618951097245116
Moderation,N,221.0,,,
Moderation,R2,0.4694143371779107,,,
Non-linearity,cyt_stem_per_10k,0.06795795449479072,0.02366751083395404,0.004087091981531621,0.3497871049523346
Non-linearity,dist_stem_uni_km,-0.0012050349470840397,0.0018942584232940751,0.524677815521647,-0.0663518389877404
Non-linearity,pct_univ_adultos,0.04414509468028453,0.025263706317604866,0.08057281986938912,0.15245508615152692
Non-linearity,log_wage_median,0.7880947646893932,0.3842521549200637,0.040268570057851345,0.1251416729605597
Non-linearity,rad_mean_2022,-0.00393204786060171,0.0034983197747300836,0.2610207344933496,-0.09278000060461697
Non-linearity,pct_servicios_avanzados,-0.007610092221642452,0.014305103715836707,0.59473679020322,-0.03536520655931413
Non-linearity,log_pob,0.408132783335773,0.07582815557966277,7.352443020478356e-08,0.4709155158234621
Non-linearity,inet_penetracion_hog,-0.00021064307907248914,0.008498193050445357,0.980225013556959,-0.0023771743433289474
Non-linearity,stem_sq,-0.0009766535675028193,0.0006774852219627928,0.1494190517906801,-0.13635611748871646
Non-linearity,N,221.0,,,
Non-linearity,R2,0.4710164454028679,,,
