variant,n,B_stem,SE_stem,p_stem,beta_stem,R2
Baseline (N=221),221,0.04269425533795516,0.01019781174467958,2.8315238469919215e-05,0.21975205233559292,0.4681117796245652
repos>=20,204,0.044454485298563495,0.009452293701580605,2.56320174872484e-06,0.2480308026510892,0.4721512221425369
repos>=30,184,0.044269121378705915,0.009636090479307491,4.346299953776384e-06,0.26867906228309524,0.4573473636486969
repos>=50,160,0.044441903009327585,0.00972606743903969,4.892159510932046e-06,0.2974814760499306,0.4283996273432401
Trim STEM 10/90,199,0.07810092279769162,0.04060659061411046,0.05443537748067963,0.11109713289632149,0.37847055938318475
Trim repos 10/90,178,0.04937117434055374,0.026179909378441883,0.05931624064085059,0.17339186738172502,0.32386132335032825
Drop Metropolitan-Core,169,0.0549834797653475,0.013305372841305035,3.5895304714100246e-05,0.2262475884210866,0.43084425265808113
Drop Metropolitan-Diversified,176,0.03310972863042286,0.012447222943232106,0.007813849683878887,0.15083100741279604,0.43151032604864825
Drop Pampeana-Educated,163,0.044442646763468624,0.010737852192372128,3.490103743045574e-05,0.26447937497444135,0.4622645211188453
Drop Intermediate-Urban,172,0.04105890856578582,0.010339880541694614,7.159358122306453e-05,0.22703220685592254,0.53051341477771
Drop Semi-Rural-Active,217,0.041413231661233375,0.010331371346637211,6.110740125705973e-05,0.2151837166434669,0.48028787366756065
Drop Peripheral-Deprived,208,0.0434098146244179,0.010278538528446186,2.407028955753653e-05,0.2338717924796897,0.46632980580690775
